53	313
53	323
53	344
53	363
53	370
53	383
53	386
53	396
53	410
53	424
53	432
53	439
53	459
53	461
53	466
53	482
53	483
53	496
54	77
54	84
54	91
54	94
54	105
54	116
54	148
54	149
54	150
54	185
54	224
54	234
54	252
54	256
54	283
54	293
54	295
54	300
54	304
54	322
54	335
54	358
54	360
54	363
54	402
54	405
54	421
54	440
54	442
54	459
54	461
54	463
54	467
54	497
55	72
55	92
55	107
55	113
55	115
55	121
55	127
55	139
55	161
55	165
55	167
55	201
55	216
55	237
55	238
55	257
55	260
55	324
55	328
55	336
55	346
55	370
55	393
55	401
55	404
55	423
55	429
55	444
55	446
55	449
55	467
55	473
55	478
55	479
55	481
55	483
55	490
55	493
56	64
56	66
56	76
56	98
56	143
56	148
56	149
56	157
56	175
56	177
56	182
56	199
56	206
56	229
56	235
56	258
56	260
56	273
56	275
56	277
56	286
56	293
56	310
56	336
56	366
56	375
56	388
56	396
56	408
56	417
56	419
56	455
56	465
56	468
56	472
56	497
57	59
57	61
57	62
57	75
57	83
57	110
57	115
57	139
57	155
57	159
57	167
57	194
57	199
57	212
57	217
57	242
57	245
57	252
57	257
57	275
57	301
57	302
57	332
57	339
57	352
57	356
57	364
57	377
57	383
57	384
57	390
57	410
57	426
57	442
57	443
57	446
57	447
57	452
57	454
57	456
57	465
57	466
57	471
57	485
57	494
58	64
58	67
58	70
58	71
58	77
58	85
58	86
58	92
58	96
58	105
58	134
58	136
58	137
58	151
58	177
58	196
58	223
58	230
58	232
58	233
58	243
58	252
58	256
58	267
58	269
58	283
58	289
58	319
58	343
58	353
58	360
58	361
58	370
58	374
58	379
58	391
58	393
58	411
58	429
58	440
58	454
58	457
58	490
58	492
58	496
58	497
59	62
59	64
59	67
59	95
59	100
59	112
59	115
59	123
59	124
59	125
59	133
59	146
59	184
59	189
59	210
59	214
59	258
59	262
59	273
59	277
59	278
59	284
59	297
59	315
59	320
59	332
59	347
59	365
59	375
59	376
59	383
59	385
59	391
59	397
59	402
59	409
59	412
59	425
59	443
59	445
59	447
59	459
59	460
59	470
59	477
59	487
60	61
60	68
60	77
60	88
60	93
60	94
60	100
60	105
60	108
60	110
60	111
60	120
